,GEOGRAPHY_CODE,All categories: English as a household language,All people aged 16 and over in household have English as a main language (English or Welsh in Wales),At least one but not all people aged 16 and over in household have English as a main language (English or Welsh in Wales),No people aged 16 and over in household but at least one person aged 3 to 15 has English as a main language (English or Welsh in Wales),No people in household have English as a main language (English or Welsh in Wales)
6027,E02006164,3179.0,0.9694872601446995,0.007864108210128971,0.0009436929852154766,0.02170493865995596
6028,E02006165,3448.0,0.9718677494199536,0.010150812064965197,0.0014501160092807424,0.016531322505800465
6029,E02006166,3103.0,0.9842088301643571,0.008701256848211408,0.0006445375443119562,0.006445375443119562
6030,E02006167,3942.0,0.9581430745814308,0.013444951801116184,0.003297818366311517,0.02511415525114155
6031,E02006168,4189.0,0.9154929577464789,0.02005251850083552,0.00453568870852232,0.05991883504416329
6032,E02006169,2167.0,0.949238578680203,0.009690816797415782,0.0036917397323488694,0.0373788647900323
6033,E02006170,2236.0,0.9856887298747764,0.00849731663685152,0.0,0.005813953488372093
6034,E02006171,4000.0,0.97575,0.01225,0.00425,0.00775
6035,E02006172,4171.0,0.9654759050587389,0.016063294174058978,0.004075761208343323,0.014385039558858786
6036,E02006173,2841.0,0.9831045406546991,0.009503695881731784,0.0024639211545230554,0.004927842309046111
6037,E02006174,4264.0,0.9896810506566605,0.006332082551594747,0.00046904315196998124,0.003517823639774859
6038,E02006175,2641.0,0.9905338886785309,0.005679666792881484,0.0007572889057175312,0.003029155622870125
6039,E02006176,3146.0,0.986013986013986,0.006357279084551812,0.0019071837253655435,0.00572155117609663
6040,E02006177,3968.0,0.9881552419354839,0.007056451612903226,0.00025201612903225806,0.0045362903225806455
6041,E02006178,3198.0,0.9921826141338337,0.0050031269543464665,0.0006253908692933083,0.002188868042526579
6042,E02006179,2787.0,0.9856476498026552,0.008611410118406888,0.001076426264800861,0.0046645138141370645
6043,E02006180,2590.0,0.9853281853281853,0.011196911196911196,0.0011583011583011582,0.0023166023166023165
6044,E02006181,2567.0,0.9816906895208415,0.009349435138293729,0.002337358784573432,0.006622516556291391
6045,E02006182,2751.0,0.9836423118865867,0.010541621228644129,0.0021810250817884407,0.0036350418029807343
6046,E02006183,3090.0,0.9844660194174757,0.008090614886731391,0.0006472491909385113,0.006796116504854369
6047,E02006184,2274.0,0.9731750219876869,0.015391380826737027,0.0008795074758135445,0.010554089709762533
6048,E02006185,3113.0,0.9858657243816255,0.012528107934468359,0.00064246707356248,0.0009637006103437199
6049,E02006186,4995.0,0.9861861861861861,0.01021021021021021,0.0004004004004004004,0.0032032032032032033
6050,E02006187,3074.0,0.9869876382563435,0.010084580351333767,0.0009759271307742355,0.001951854261548471
6051,E02006188,2521.0,0.9880999603332011,0.007140023800079333,0.0,0.004760015866719556
6052,E02006189,3086.0,0.9854180168502916,0.007777057679844459,0.0009721322099805574,0.005832793259883344
6053,E02006190,4676.0,0.9749786142001711,0.00855431993156544,0.0014970059880239522,0.014970059880239521
