,GEOGRAPHY_CODE,Household reference person has not previously served in regular or reserve UK armed forces,Household reference person previously served in both regular and reserve UK armed forces,Household reference person previously served in regular UK armed forces,Household reference person previously served in reserve UK armed forces,Total: All households
6034,E02006278,0.9451448794514488,0.0022119000221190004,0.042910860429108605,0.009732360097323601,4521.0
6035,E02006279,0.9195344129554656,0.0020242914979757085,0.0680668016194332,0.010374493927125507,3952.0
6036,E02006280,0.9203078450844091,0.004220456802383317,0.06231380337636544,0.013157894736842105,4028.0
6037,E02006281,0.9187917801435999,0.0049517207229512255,0.06338202525377569,0.012874473879673186,4039.0
6038,E02006282,0.9201596806387226,0.00332667997338656,0.061543579507651366,0.014970059880239521,3006.0
6039,E02006283,0.9347079037800687,0.004467353951890034,0.050515463917525774,0.010309278350515464,2910.0
6040,E02006284,0.9399939080109656,0.003655193420651843,0.04843131282363692,0.007919585744745659,3283.0
6041,E02006285,0.9507112140258022,0.0029771749917300696,0.0387032748924909,0.007608336089976844,3023.0
6042,E02006286,0.9486226497595103,0.001530389156099694,0.04197638828159161,0.007870572802798426,4574.0
6043,E02006287,0.9306896551724138,0.005517241379310344,0.05241379310344828,0.011379310344827587,2900.0
6044,E02006288,0.9281395348837209,0.0025581395348837207,0.05627906976744186,0.013023255813953489,4300.0
6045,E02006289,0.9351789331532748,0.002025658338960162,0.05379248255683097,0.009002925950934054,4443.0
6046,E02006290,0.9203562340966921,0.0035623409669211198,0.06463104325699745,0.011450381679389313,3930.0
6047,E02006291,0.9244494006133259,0.004460551993309172,0.05687203791469194,0.014218009478672985,3587.0
6048,E02006292,0.9213403880070546,0.0038800705467372134,0.05925925925925926,0.015520282186948854,2835.0
6049,E02006293,0.9103719103719103,0.006006006006006006,0.06883806883806884,0.014784014784014783,4329.0
6050,E02006294,0.9121338912133892,0.003399581589958159,0.07112970711297072,0.013336820083682008,3824.0
6051,E02006295,0.9115066432689897,0.004011030333416896,0.07169716720982702,0.012785159187766357,3989.0
6052,E02006296,0.9360805860805861,0.003663003663003663,0.05073260073260073,0.009523809523809525,5460.0
6053,E02006297,0.9142259414225942,0.0041841004184100415,0.06933652121936641,0.012253436939629408,3346.0
6054,E02006298,0.9232103046816943,0.0032202130294773346,0.06589051275699777,0.007678969531830567,4037.0
6055,E02006299,0.8865394533264569,0.004899432697266632,0.09205776173285199,0.016503352243424446,3878.0
6056,E02006300,0.925246076084065,0.0031923383878691143,0.06464485235434957,0.006916733173716414,3759.0
6057,E02006301,0.9152202937249666,0.003671562082777036,0.06842456608811749,0.012683578104138851,2996.0
6058,E02006302,0.9093031010336778,0.00266755585195065,0.0756918972990997,0.012337445815271757,2999.0
6059,E02006303,0.9296452194828623,0.0036079374624173183,0.054419723391461214,0.01232711966325917,3326.0
6060,E02006304,0.906071331336782,0.007078682276068609,0.0721481078137762,0.014701878573373264,3673.0
6061,E02006305,0.9452713533318068,0.001144950767117014,0.04305014884359973,0.010533547057476528,4367.0
6062,E02006306,0.9196750902527075,0.0048134777376654635,0.05956678700361011,0.015944645006016847,3324.0
6063,E02006307,0.9128014842300557,0.0037105751391465678,0.0670995670995671,0.016388373531230675,3234.0
6064,E02006308,0.9402286902286903,0.002858627858627859,0.04703742203742204,0.009875259875259876,3848.0
6065,E02006309,0.9211920529801324,0.0033112582781456954,0.06688741721854305,0.008609271523178808,3020.0
6066,E02006310,0.9291109819872168,0.0026147588611272515,0.05752469494479954,0.01074956420685648,3442.0
6067,E02006311,0.9204400102327961,0.005628037861345613,0.06242005628037861,0.011511895625479662,3909.0
6068,E02006312,0.9132870864461046,0.0034685165421558164,0.06750266808964782,0.01574172892209178,3748.0
6069,E02006313,0.9169909208819714,0.0023778642455685255,0.06787721573713791,0.012753999135322092,4626.0
6070,E02006314,0.9365413533834587,0.002105263157894737,0.05533834586466165,0.006015037593984963,3325.0
6071,E02006315,0.9174083303666786,0.004271982912068352,0.06479174083303667,0.013527945888216448,2809.0
6072,E02006316,0.9206957547169812,0.00294811320754717,0.06397405660377359,0.012382075471698114,3392.0
6073,E02006317,0.9554767533490938,0.0027580772261623326,0.030338849487785657,0.011426319936958234,2538.0
6074,E02006318,0.9586748633879781,0.001366120218579235,0.030054644808743168,0.009904371584699454,2928.0
6075,E02006319,0.9545923632610939,0.0017199862401100791,0.03233574131406949,0.011351909184726523,2907.0
6076,E02006320,0.9680469514183241,0.0029344636452559502,0.020215194000652102,0.008803390935767852,3067.0
6077,E02006321,0.9658634538152611,0.0008032128514056225,0.02248995983935743,0.010843373493975903,2490.0
6078,E02006322,0.9623464130003964,0.0023781212841854932,0.02219579865239794,0.013079667063020214,2523.0
6079,E02006323,0.9536736500442609,0.003245795219828858,0.03245795219828858,0.010622602537621718,3389.0
6080,E02006324,0.9569083447332422,0.002051983584131327,0.030095759233926128,0.01094391244870041,2924.0
6081,E02006325,0.9624737316121285,0.0018012608826178324,0.026418492945061545,0.009306514560192134,3331.0
6082,E02006326,0.9637936558795258,0.0009612303748798462,0.025953220121755848,0.009291893623838513,3121.0
6083,E02006327,0.948910325116113,0.002500893176134334,0.03894247945694891,0.00964630225080386,2799.0
6084,E02006328,0.9629275292992107,0.0014350633819660368,0.028462090408993064,0.0071753169098301844,4181.0
6085,E02006329,0.9570508231925555,0.0032211882605583395,0.028274874731567645,0.01145311381531854,2794.0
6086,E02006330,0.9445411589156926,0.001740860482467048,0.04028848545138025,0.013429495150460085,4021.0
6087,E02006331,0.9451176051318603,0.002851033499643621,0.038845331432644334,0.013186029935851747,2806.0
6088,E02006332,0.9645444147922226,0.0007624857033930614,0.0285932138772398,0.006099885627144491,2623.0
6089,E02006333,0.9525884161968221,0.0017939518195797027,0.03357252690927729,0.01204510507432086,3902.0
6090,E02006334,0.9532507739938081,0.0015479876160990713,0.03188854489164087,0.013312693498452013,3230.0
6091,E02006335,0.95232,0.00352,0.03328,0.01088,3125.0
6092,E02006336,0.9678362573099415,0.0010964912280701754,0.02412280701754386,0.006944444444444444,2736.0
